Protein.Ids,Gene_Symbol,First.Protein.Description,log2FC,log2.protein.intensity,P_value,Adjusted_P_value,Condition
P84096,Rhog,Rho-related GTP-binding protein RhoG,-0.06906997464,21.5431809,0.3900050513,0.518560263,Not_sig
P84099,Rpl19,60S ribosomal protein L19,-0.7435741171,22.8995826,0.002161598237,0.01194334843,Down
P84104,Srsf3,Serine/arginine-rich splicing factor 3,-0.4514277271,23.07162965,0.3259678636,0.4527791902,Not_sig
P85094,Isoc2a,Isochorismatase domain-containing protein 2A,0.3457285341,21.66805275,0.03313757554,0.08481799789,Not_sig
P97290,Serping1,Plasma protease C1 inhibitor,0.08101149191,21.09214553,0.5877622201,0.6977131596,Not_sig
P97298,Serpinf1,Pigment epithelium-derived factor,-1.033117406,20.98478474,0.0009480886193,0.006773565832,Down
P97300,Nptn,Neuroplastin,0.1838263471,21.42102842,0.2883477693,0.4131472402,Not_sig
P97314,Csrp2,Cysteine and glycine-rich protein 2,0.1386744101,18.33872483,0.7840679887,0.8529945914,Not_sig
P97315,Csrp1,Cysteine and glycine-rich protein 1,0.4378684823,23.44275399,0.01136397307,0.03886926029,Not_sig
P97333,Nrp1,Neuropilin-1,-1.329516227,16.34315938,0.0349091656,0.08840572799,Not_sig
P97346,Nxn,Nucleoredoxin,0.103343781,19.23627623,0.5357012865,0.6519801781,Not_sig
P97351,Rps3a,40S ribosomal protein S3a,-0.6995931411,22.97623103,0.00003311013807,0.0008095529363,Down
P97352,S100a13,Protein S100-A13,-0.07414480949,20.89839118,0.607598045,0.7160107624,Not_sig
P97355,Sms,Spermine synthase,1.036476024,21.22113119,0.000008662198703,0.0003486762931,Up
P97363,Sptlc2,Serine palmitoyltransferase 2,-0.4039118046,17.81245836,0.1418737586,0.2464064467,Not_sig
P97366,Evi5,Ecotropic viral integration site 5 protein,-1.107890319,17.43104889,0.04928430634,0.1140128176,Not_sig
P97370,Atp1b3,Sodium/potassium-transporting ATPase subunit beta-3,0.1509959634,24.59250299,0.1494966404,0.2564715806,Not_sig
P97371,Psme1,Proteasome activator complex subunit 1,-0.5663693378,23.13953061,0.0001515775441,0.00219557776,Not_sig
P97376,Frg1,Protein FRG1,-0.9506475149,18.74327578,0.001892890135,0.01091766497,Down
P97379,G3bp2,Ras GTPase-activating protein-binding protein 2,-0.4332686067,20.81309052,0.0176179959,0.05376793004,Not_sig
P97384,Anxa11,Annexin A11,0.05087931926,22.24896353,0.5369796724,0.6529126446,Not_sig
P97390,Vps45,Vacuolar protein sorting-associated protein 45,-0.1800955694,19.85592334,0.1554433794,0.2642472754,Not_sig
P97393,Arhgap5,Rho GTPase-activating protein 5,0.4653773343,18.28221278,0.1572861648,0.2661337585,Not_sig
P97427,Crmp1,Dihydropyrimidinase-related protein 1,0.2711525161,23.12180508,0.02820127785,0.0754665406,Not_sig
P97429,Anxa4,Annexin A4,0.2801687446,22.7710582,0.03632371902,0.09096391717,Not_sig
P97434,Mprip,Myosin phosphatase Rho-interacting protein,-0.00255157546,20.7401278,0.986143548,0.9910677865,Not_sig
P97443,Smyd1,Histone-lysine N-methyltransferase Smyd1,1.052228593,20.99143847,0.009166705054,0.03344797722,Up
P97447,Fhl1,Four and a half LIM domains protein 1,0.6158048882,25.14536136,0.02954636517,0.07802852238,Not_sig
P97449,Anpep,Aminopeptidase N,0.3005145881,21.28548404,0.0624553858,0.1350409466,Not_sig
P97450,Atp5pf,"ATP synthase-coupling factor 6, mitochondrial",0.005448423393,25.01002994,0.9600063221,0.9742477666,Not_sig
P97457,Mylpf,"Myosin regulatory light chain 2, skeletal muscle isoform",0.7025431991,27.8958349,0.01766753469,0.05387611854,Not_sig
P97471,Smad4,Mothers against decapentaplegic homolog 4,-0.1274167157,17.44216795,0.6749735356,0.7704772537,Not_sig
P97479,Myo7a,Unconventional myosin-VIIa,-1.019745466,17.3941719,0.1151347718,0.2110142951,Not_sig
P97493,Txn2,"Thioredoxin, mitochondrial",0.2401672695,19.51452832,0.2465318494,0.3681410367,Not_sig
P97494,Gclc,Glutamate--cysteine ligase catalytic subunit,0.1161550177,20.6237151,0.4220029138,0.548331343,Not_sig
P97742,Cpt1a,"Carnitine O-palmitoyltransferase 1, liver isoform",-0.1115662052,21.16861158,0.4595869777,0.5829056726,Not_sig
P97765,Wbp2,WW domain-binding protein 2,0.6034671546,20.92132528,0.06690008248,0.1422836015,Not_sig
P97770,Thumpd3,THUMP domain-containing protein 3,0.261859248,18.94340261,0.1532885014,0.2618986679,Not_sig
P97797,Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,0.3761593879,20.06467535,0.01420520022,0.04591773934,Not_sig
P97807,Fh,"Fumarate hydratase, mitochondrial",0.1556975876,23.75309144,0.3950325347,0.5234249524,Not_sig
P97820,Map4k4,Mitogen-activated protein kinase kinase kinase kinase 4,-1.083840069,18.64846931,0.00216644617,0.01194334843,Down
P97821,Ctsc,Dipeptidyl peptidase 1,-0.6011741978,19.90609779,0.004184051707,0.01934681225,Down
P97822,Anp32e,Acidic leucine-rich nuclear phosphoprotein 32 family member E,-0.4006774287,21.86154075,0.00686954519,0.02759841988,Not_sig
P97823,Lypla1,Acyl-protein thioesterase 1,0.221229627,22.45580497,0.1365806738,0.2401308031,Not_sig
P97825,Jpt1,Jupiter microtubule associated homolog 1,-0.4736008917,20.561437,0.3302277031,0.4573858946,Not_sig
P97855,G3bp1,Ras GTPase-activating protein-binding protein 1,-0.7777007221,20.85498113,0.00002667622694,0.0007183795199,Down
P97872,Fmo5,Flavin-containing monooxygenase 5,-0.2413426334,19.52502827,0.1842224054,0.298502745,Not_sig
P97927,Lama4,Laminin subunit alpha-4,0.2927229519,24.37810006,0.02148811573,0.06229761527,Not_sig
P97930,Dtymk,Thymidylate kinase,-1.448241725,18.45404323,0.05041852287,0.1160050731,Not_sig
P98078,Dab2,Disabled homolog 2,-1.604358809,19.59608429,0.00008857989005,0.001518966366,Down
P98200,Atp8a2,Phospholipid-transporting ATPase IB,0.4039988906,19.10958548,0.1541745156,0.2629631346,Not_sig
P98203,Arvcf,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,-0.3812101983,20.05535859,0.01473987124,0.04730216532,Not_sig
P99024,Tubb5,Tubulin beta-5 chain,-0.3157620378,27.37084874,0.1027198799,0.193784322,Not_sig
P99026,Psmb4,Proteasome subunit beta type-4,-0.1073399293,22.196615,0.2830314111,0.4078041131,Not_sig
P99027,Rplp2,60S acidic ribosomal protein P2,-0.771510093,25.48880116,0.00009127519462,0.001551272641,Down
P99028,Uqcrh,"Cytochrome b-c1 complex subunit 6, mitochondrial",0.04683284745,23.2706788,0.8777615122,0.9196054857,Not_sig
P99029,Prdx5,"Peroxiredoxin-5, mitochondrial",-0.2255968816,25.92341361,0.05576730696,0.1244688553,Not_sig
Q00493,Cpe,Carboxypeptidase E,-0.2583709609,19.75222064,0.05759721365,0.127682171,Not_sig
Q00519,Xdh,Xanthine dehydrogenase/oxidase,0.7369121982,19.26017696,0.003108401068,0.01551765755,Up
Q00560,Il6st,Interleukin-6 receptor subunit beta,0.2773948772,19.16463558,0.05797252144,0.1281427295,Not_sig
Q00612,G6pdx,Glucose-6-phosphate 1-dehydrogenase X,-0.2342114761,21.2211039,0.08100663576,0.1630365132,Not_sig
Q00623,Apoa1,Apolipoprotein A-I,-0.1163044715,26.82000116,0.5375235568,0.6533662051,Not_sig
Q00724,Rbp4,Retinol-binding protein 4,-0.04234714896,19.08069978,0.9547894666,0.9720753249,Not_sig
Q00897,Serpina1d,Alpha-1-antitrypsin 1-4,0.07541100933,24.30003971,0.7187604262,0.8037861975,Not_sig
Q00898,Serpina1e,Alpha-1-antitrypsin 1-5,-2.492789139,23.31280211,0.002167542837,0.01194334843,Down
Q00915,Rbp1,Retinol-binding protein 1,-0.05703614766,21.93819915,0.6174833328,0.7243117377,Not_sig
Q00PI9,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,-0.4548928094,22.06434176,0.001183018367,0.00782675127,Not_sig
Q01065,Pde1b,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",1.281656016,18.24085433,0.01794378392,0.05442833112,Not_sig
Q01149,Col1a2,Collagen alpha-2(I) chain,-0.390542395,23.66616743,0.278409352,0.4023906938,Not_sig
Q01279,Egfr,Epidermal growth factor receptor,-0.5525903064,21.55801111,0.02449916965,0.06788755415,Not_sig
Q01339,Apoh,Beta-2-glycoprotein 1,0.6136729674,23.77813279,0.00562011206,0.02374730223,Up
Q01405,Sec23a,Protein transport protein Sec23A,-0.3680697333,21.72821949,0.002027369547,0.01141776311,Not_sig
Q01730,Rsu1,Ras suppressor protein 1,-0.2886521917,23.62767244,0.003297872776,0.01620959575,Not_sig
Q01768,Nme2,Nucleoside diphosphate kinase B,0.1277215464,24.17355859,0.2520456878,0.3744250292,Not_sig
Q01853,Vcp,Transitional endoplasmic reticulum ATPase,-0.3419785465,25.6062405,0.00355424893,0.01716091907,Not_sig
Q02053,Uba1,Ubiquitin-like modifier-activating enzyme 1,-0.1468976821,25.08148884,0.1863158489,0.3001144929,Not_sig
Q02111,Prkcq,Protein kinase C theta type,-0.3079744997,19.45368789,0.08472699949,0.1679606252,Not_sig
Q02248,Ctnnb1,Catenin beta-1,0.08082235907,22.16292739,0.3052482598,0.4310554699,Not_sig
Q02257,Jup,Junction plakoglobin,0.3784543448,19.9581479,0.04150175873,0.1001911145,Not_sig
Q02357,Ank1,Ankyrin-1,-1.679842895,21.9528641,0.000001283845389,0.00009626323072,Down
Q02788,Col6a2,Collagen alpha-2(VI) chain,0.201857848,23.45218599,0.5177142902,0.634125383,Not_sig
Q02789,Cacna1s,Voltage-dependent L-type calcium channel subunit alpha-1S,0.6735897933,19.4530274,0.08293072152,0.1654288363,Not_sig
Q02819,Nucb1,Nucleobindin-1,-0.007325269301,21.8339889,0.9571716687,0.9729985333,Not_sig
Q03059,Chat,Choline O-acetyltransferase,0.8937749307,22.30037978,0.004854547397,0.02130781357,Up
Q03141,Mark3,MAP/microtubule affinity-regulating kinase 3,-0.1201941962,18.40130724,0.6683444883,0.7661119074,Not_sig
Q03173,Enah,Protein enabled homolog,0.04325750452,19.43313493,0.8153230319,0.8750477895,Not_sig
Q03265,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",-0.2552345587,26.71847903,0.02029518847,0.05960737381,Not_sig
Q03517,Scg2,Secretogranin-2,0.1133357924,21.51496739,0.3438443993,0.4702675905,Not_sig
Q03734,Serpina3m,Serine protease inhibitor A3M,3.691494898,20.21665216,0.000000001957929663,0.0000005759325408,Up
Q03958,Pfdn6,Prefoldin subunit 6,0.07191187271,21.56550516,0.4543631012,0.577741489,Not_sig
Q03963,Eif2ak2,"Interferon-induced, double-stranded RNA-activated protein kinase",-0.0190225718,17.92735486,0.9551730711,0.9722070333,Not_sig
Q04207,Rela,Transcription factor p65,-0.3282070946,20.64425243,0.03917154964,0.09608210764,Not_sig
Q04447,Ckb,Creatine kinase B-type,-0.1447962914,27.12694325,0.4248975887,0.5513431894,Not_sig
Q04690,Nf1,Neurofibromin,0.2765745539,20.30038686,0.02169206584,0.06274618742,Not_sig
Q04736,Yes1,Tyrosine-protein kinase Yes,-0.0883897966,20.77659891,0.4845740782,0.6049661361,Not_sig
Q04750,Top1,DNA topoisomerase 1,-1.437155929,20.25425494,0.000006829034318,0.0003001635314,Down
Q04857,Col6a1,Collagen alpha-1(VI) chain,0.2956891369,23.87771986,0.3377133482,0.4643942251,Not_sig
Q04888,Sox10,Transcription factor SOX-10,-0.2680439931,17.23015081,0.6712595701,0.7676126185,Not_sig
Q05117,Acp5,Tartrate-resistant acid phosphatase type 5,-2.212381567,19.67606482,0.04534452997,0.1069694526,Not_sig
Q05186,Rcn1,Reticulocalbin-1,-1.09774757,21.33770852,0.0000007590557522,0.00007079583406,Down
Q05512,Mark2,Serine/threonine-protein kinase MARK2,0.1071556267,18.53547251,0.728745134,0.8109431509,Not_sig
Q05793,Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein,-0.2566774944,25.55526707,0.01202179903,0.04043302711,Not_sig
Q05816,Fabp5,Fatty acid-binding protein 5,-0.05567429387,23.55284103,0.6749522696,0.7704772537,Not_sig
Q05920,Pc,"Pyruvate carboxylase, mitochondrial",-0.2763355703,22.91169542,0.0393585882,0.09640241028,Not_sig
Q05AA6,Drp2,Dystrophin-related protein 2,0.7963838867,23.45995679,0.00001197500954,0.0004327228198,Up
Q05BC3,Eml1,Echinoderm microtubule-associated protein-like 1,0.1285927134,22.9294634,0.1163223262,0.2120732764,Not_sig
Q05D44,Eif5b,Eukaryotic translation initiation factor 5B,-1.168745813,18.49195045,0.0002245665674,0.002797207016,Down
Q06138,Cab39,Calcium-binding protein 39,0.3681544252,22.78468565,0.01888291456,0.05663393357,Not_sig
Q06185,Atp5me,"ATP synthase subunit e, mitochondrial",-0.2409217638,24.57818351,0.05809689368,0.1282325662,Not_sig
Q06335,Aplp2,Amyloid-like protein 2,-0.3397817137,18.45223556,0.3490799512,0.4762332263,Not_sig
Q06770,Serpina6,Corticosteroid-binding globulin,-0.5056480379,20.13037208,0.20823526,0.3252825304,Not_sig
Q06890,Clu,Clusterin,0.7335445693,23.44607057,0.0002915575718,0.003240190697,Up
Q07076,Anxa7,Annexin A7,0.2281348149,23.23650787,0.007757857287,0.02987517247,Not_sig
Q07113,Igf2r,Cation-independent mannose-6-phosphate receptor,-0.4621206063,17.9662708,0.1994197148,0.3149859519,Not_sig
Q07235,Serpine2,Glia-derived nexin,-0.2967611382,19.93424924,0.5330696979,0.6499339718,Not_sig
Q07417,Acads,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.04281055869,23.15598236,0.8079043123,0.8708695527,Not_sig
Q07456,Ambp,Protein AMBP,1.606556603,22.48222828,0.00002436754885,0.0006953843791,Up
Q07797,Lgals3bp,Galectin-3-binding protein,-0.4832040299,19.35260397,0.06273460248,0.135535096,Not_sig
Q07813,Bax,Apoptosis regulator BAX,0.03224912652,20.25241786,0.8148872178,0.8748255813,Not_sig
Q07968,F13b,Coagulation factor XIII B chain,-0.3375723034,18.93886042,0.3044358838,0.430374425,Not_sig
Q08024,Cbfb,Core-binding factor subunit beta,-0.1932159675,21.22286818,0.07705684521,0.1575783011,Not_sig
Q08091,Cnn1,Calponin-1,-1.512074307,20.1399586,0.1770031144,0.2901242647,Not_sig
Q08093,Cnn2,Calponin-2,-0.05081662419,20.43129828,0.8718690787,0.9156900184,Not_sig
Q08331,Calb2,Calretinin,0.7376423459,23.44528403,0.01164986387,0.03948582882,Up
Q08481,Pecam1,Platelet endothelial cell adhesion molecule,0.3236332314,17.79757295,0.3080534372,0.4330868911,Not_sig
Q08642,Padi2,Protein-arginine deiminase type-2,0.5237777553,22.58609838,0.03976352064,0.09722231646,Not_sig
Q08857,Cd36,Platelet glycoprotein 4,-0.346679622,21.28451339,0.1715808092,0.2830565204,Not_sig
Q08879,Fbln1,Fibulin-1,0.3928477087,20.77595892,0.005097713817,0.02197706611,Not_sig
Q08943,Ssrp1,FACT complex subunit SSRP1,-0.381152716,20.45040635,0.003882619996,0.01830719958,Not_sig
Q0GNC1,Inf2,Inverted formin-2,-0.3047908212,20.09468509,0.1112401578,0.2059359724,Not_sig
Q0VBD0,Itgb8,Integrin beta-8,-0.4023914497,19.68273964,0.3098872694,0.4348037,Not_sig
Q11011,Npepps,Puromycin-sensitive aminopeptidase,0.4816320746,22.66029174,0.0003145598345,0.00334587946,Not_sig
Q11136,Pepd,Xaa-Pro dipeptidase,0.0364759834,21.43058336,0.8118169517,0.8730000066,Not_sig
Q148V7,Relch,RAB11-binding protein RELCH,-0.1391121973,19.49271964,0.5691659186,0.6816443698,Not_sig
Q149F3,Gspt2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,-0.8557396504,17.4385598,0.1076945765,0.2008065612,Not_sig
Q14C51,Ptcd3,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",-0.262899898,18.62072168,0.2451629468,0.3667852537,Not_sig
Q1HFZ0,Nsun2,RNA cytosine C(5)-methyltransferase NSUN2,-0.4959406657,19.75798727,0.0102852789,0.03639555122,Not_sig
Q1XH17,Trim72,Tripartite motif-containing protein 72,0.4507488259,20.92069597,0.315020696,0.4404530682,Not_sig
Q2KN98,Specc1l,Cytospin-A,-0.1257903772,19.03420604,0.5469013426,0.6616104822,Not_sig
Q2NL51,Gsk3a,Glycogen synthase kinase-3 alpha,0.1535739055,20.03881927,0.30641547,0.4317364618,Not_sig
Q2TBE6,Pi4k2a,Phosphatidylinositol 4-kinase type 2-alpha,0.02354714359,19.17438037,0.8862875068,0.9252425405,Not_sig
Q2TPA8,Hsdl2,Hydroxysteroid dehydrogenase-like protein 2,-0.02872750234,20.98580473,0.8104474157,0.8722631347,Not_sig
Q2UY11,Col28a1,Collagen alpha-1(XXVIII) chain,0.3645586176,23.14724034,0.01794298343,0.05442833112,Not_sig
Q2VLH6,Cd163,Scavenger receptor cysteine-rich type 1 protein M130,-0.839855001,19.10687599,0.006150247727,0.0255081858,Down
Q3B7Z2,Osbp,Oxysterol-binding protein 1,0.0160394151,20.37065977,0.8819923918,0.9225215827,Not_sig
Q3KNM2,Marchf5,E3 ubiquitin-protein ligase MARCHF5,-0.2176128553,19.25667896,0.3182003508,0.4434395559,Not_sig
Q3KNY0,Igfn1,Immunoglobulin-like and fibronectin type III domain-containing protein 1,6.313270028,17.92293924,0.00000002186760985,0.000004645652226,Up
Q3MI48,Jsrp1,Junctional sarcoplasmic reticulum protein 1,1.944013022,20.38883397,0.01059849255,0.03714815353,Up
Q3SXD3,Hddc2,5'-deoxynucleotidase HDDC2,0.5583876252,20.11599391,0.00102287286,0.007150760175,Not_sig
Q3TC72,Fahd2,Fumarylacetoacetate hydrolase domain-containing protein 2A,0.7865021334,20.46215897,0.002177709773,0.01196488818,Up
Q3TC93,Hs1bp3,HCLS1-binding protein 3,-0.002505388621,19.55536954,0.988127157,0.9917095514,Not_sig
Q3TCH7,Cul4a,Cullin-4A,-0.01960923366,18.19767014,0.9438357442,0.9635290357,Not_sig
Q3TCN2,Plbd2,Putative phospholipase B-like 2,-0.2285504312,21.73613648,0.05571025343,0.1244369212,Not_sig
Q3TDD9,Ppp1r21,Protein phosphatase 1 regulatory subunit 21,-0.4736098443,19.4154659,0.02936353196,0.07786806801,Not_sig
Q3TDK6,Rogdi,Protein rogdi homolog,0.5277789923,20.68277558,0.01416904128,0.04591773934,Not_sig
Q3TDN2,Faf2,FAS-associated factor 2,-0.5417843618,21.26971483,0.007196436615,0.02839955997,Not_sig
Q3TDQ1,Stt3b,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,-0.3297593346,20.64055526,0.05369267712,0.121491596,Not_sig
Q3TEA8,Hp1bp3,Heterochromatin protein 1-binding protein 3,-0.9881644184,21.11346039,0.0004109017007,0.003908676874,Down
Q3TES0,Iqsec3,IQ motif and SEC7 domain-containing protein 3,-1.190010671,17.05880399,0.1139451207,0.2094837219,Not_sig
Q3TFD2,Lpcat1,Lysophosphatidylcholine acyltransferase 1,-0.843262716,18.78150505,0.004456588783,0.02012041973,Down
Q3TGW2,Eepd1,Endonuclease/exonuclease/phosphatase family domain-containing protein 1,-0.3688878513,19.88573182,0.06636230525,0.1413757411,Not_sig
Q3THE2,Myl12b,Myosin regulatory light chain 12B,-0.4032166532,24.17487854,0.0007051219929,0.005617471877,Not_sig
Q3THG9,Aarsd1,Alanyl-tRNA editing protein Aarsd1,0.02005617629,20.63858099,0.8737892044,0.9169511299,Not_sig
Q3THK7,Gmps,GMP synthase [glutamine-hydrolyzing],0.1308588242,21.8882259,0.2144563205,0.332429021,Not_sig
Q3THS6,Mat2a,S-adenosylmethionine synthase isoform type-2,-0.1821181373,22.51398873,0.03865643699,0.09529057695,Not_sig
Q3TIR3,Ric8a,Synembryn-A,0.1127211689,20.35721234,0.2387843697,0.3592098465,Not_sig
Q3TIU4,Pde12,"2',5'-phosphodiesterase 12",0.573690596,19.67566037,0.0004927144832,0.00443327102,Not_sig
Q3TIV5,Zc3h15,Zinc finger CCCH domain-containing protein 15,-0.008602394232,19.06365331,0.9805754334,0.988329061,Not_sig
Q3TIX9,Usp39,U4/U6.U5 tri-snRNP-associated protein 2,-0.3748428293,19.21103868,0.07845056818,0.1594081643,Not_sig
Q3TJD7,Pdlim7,PDZ and LIM domain protein 7,0.1876109799,23.48715662,0.2060189285,0.3227432949,Not_sig
Q3TJZ6,Fam98a,Protein FAM98A,0.1156047304,20.76494673,0.1918333093,0.3061646806,Not_sig
Q3TKY6,Cwc27,Spliceosome-associated protein CWC27 homolog,-0.02028172196,18.21080722,0.9230491355,0.949357056,Not_sig
Q3TL44,Nlrx1,NLR family member X1,-0.01681575941,19.00924697,0.9296191345,0.9533021106,Not_sig
Q3TLH4,Prrc2c,Protein PRRC2C,-0.7953768236,19.67781698,0.02753520075,0.07394284245,Not_sig
Q3TLI0,Trappc10,Trafficking protein particle complex subunit 10,-0.8757501827,16.51286577,0.1678941033,0.2782952106,Not_sig
Q3TLS3,Gdpgp1,GDP-D-glucose phosphorylase 1,0.8034905488,19.0471156,0.0231855924,0.06572402176,Not_sig
Q3TMH2,Scrn3,Secernin-3,0.7846710902,21.17627966,0.00004849834668,0.001011510024,Up
Q3TMP8,Tmem38a,Trimeric intracellular cation channel type A,1.315381829,20.72911752,0.01992331231,0.05887692911,Not_sig
Q3TMW1,Ccdc102a,Coiled-coil domain-containing protein 102A,-0.5559409964,19.47219372,0.00199579092,0.01130652515,Not_sig
Q3TPX4,Exoc5,Exocyst complex component 5,0.090612413,19.29987122,0.5406048064,0.6566940215,Not_sig
Q3TRM4,Pnpla6,Patatin-like phospholipase domain-containing protein 6,-0.09126141183,19.02197738,0.5827608619,0.6933657547,Not_sig
Q3TTY5,Krt2,"Keratin, type II cytoskeletal 2 epidermal",-0.2050791798,20.39805422,0.8064390044,0.8696623669,Not_sig
Q3TUH1,Tamm41,"Phosphatidate cytidylyltransferase, mitochondrial",1.512865612,18.02817656,0.02494437005,0.06857460177,Not_sig
Q3TVI8,Pbxip1,Pre-B-cell leukemia transcription factor-interacting protein 1,1.578582713,18.1270976,0.03168148451,0.08224711254,Not_sig
Q3TW96,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,-0.06596114423,22.1134056,0.6230748175,0.7290814266,Not_sig
Q3TWI9,Tmem63b,CSC1-like protein 2,-0.1650514675,20.12863984,0.3958593189,0.5238470636,Not_sig
Q3TWL2,Pip4p1,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",0.1991974366,19.7834785,0.4950759641,0.6132719425,Not_sig
Q3TWW8,Srsf6,Serine/arginine-rich splicing factor 6,-0.5196664553,19.05421596,0.1524861989,0.260898087,Not_sig
Q3TXS7,Psmd1,26S proteasome non-ATPase regulatory subunit 1,-0.09335764551,21.23421681,0.3629944072,0.491185638,Not_sig
Q3TYX3,Smyd5,SET and MYND domain-containing protein 5,0.2683622497,19.44403317,0.1828803158,0.2968991669,Not_sig
Q3TZZ7,Esyt2,Extended synaptotagmin-2,-0.1846886836,21.12132561,0.1283365593,0.229812935,Not_sig
Q3U0B3,Dhrs11,Dehydrogenase/reductase SDR family member 11,-1.455307446,20.79878598,0.0006804524036,0.005477999982,Down
Q3U0V1,Khsrp,Far upstream element-binding protein 2,-0.5024932588,22.81629469,0.002206002163,0.01206831512,Not_sig
Q3U1F9,Pag1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,-1.448361102,17.48135246,0.0691972834,0.1459516887,Not_sig
Q3U1J4,Ddb1,DNA damage-binding protein 1,0.335246307,22.03905249,0.001337390829,0.008495319815,Not_sig
Q3U2P1,Sec24a,Protein transport protein Sec24A,-0.2226253302,19.2187754,0.2497626805,0.3720656371,Not_sig
Q3U3R4,Lmf1,Lipase maturation factor 1,-1.51369881,19.56079823,0.00001864761191,0.0005893261813,Down
Q3U487,Hectd3,E3 ubiquitin-protein ligase HECTD3,0.1715688662,19.39143354,0.2175800031,0.3359006588,Not_sig
Q3U5Q7,Cmpk2,"UMP-CMP kinase 2, mitochondrial",-0.1554370088,21.22307963,0.1071733996,0.2002105912,Not_sig
Q3U7R1,Esyt1,Extended synaptotagmin-1,-0.1608581214,22.60059964,0.1433608995,0.2480597646,Not_sig
Q3U7U3,Fbxo7,F-box only protein 7,0.6081140621,18.51093386,0.09667508639,0.1857716233,Not_sig
Q3UBX0,Tmem109,Transmembrane protein 109,0.1855482189,22.82236171,0.1639393314,0.2736377142,Not_sig
Q3UDE2,Ttll12,Tubulin--tyrosine ligase-like protein 12,-0.04997889819,20.97832968,0.6994541478,0.789000785,Not_sig
Q3UDR8,Yipf3,Protein YIPF3,-0.1883824437,18.68613118,0.4939636598,0.6122907731,Not_sig
Q3UE37,Ube2z,Ubiquitin-conjugating enzyme E2 Z,0.2436875657,20.31564289,0.1635792057,0.2733946166,Not_sig
Q3UEB3,Puf60,Poly(U)-binding-splicing factor PUF60,-0.4224640133,20.73304999,0.003039034431,0.01527862516,Not_sig
Q3UFF7,Lyplal1,Lysophospholipase-like protein 1,-0.526268006,18.23850914,0.2123544306,0.3300989197,Not_sig
Q3UFK8,Frmd8,FERM domain-containing protein 8,0.290098245,21.14459053,0.01165781923,0.03948582882,Not_sig
Q3UFS0,Zyg11b,Protein zyg-11 homolog B,-0.6320755059,16.86593391,0.4175029433,0.5446296507,Not_sig
Q3UGR5,Hdhd2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,-0.014711409,23.77956819,0.9383711339,0.9597034544,Not_sig
Q3UGS4,Mcrip1,Mapk-regulated corepressor-interacting protein 1,-0.9034487815,20.27122665,0.00003915434054,0.0008883292629,Down
Q3UGY8,Arfgef3,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,-0.1351206007,19.26881026,0.6649453172,0.7649522331,Not_sig
Q3UH53,Sdk1,Protein sidekick-1,-0.7684443786,17.71305922,0.03009865787,0.078833745,Not_sig
Q3UH60,Dip2b,Disco-interacting protein 2 homolog B,-0.005073630176,20.08977424,0.9676694606,0.9797108862,Not_sig
Q3UH68,Limch1,LIM and calponin homology domains-containing protein 1,0.2447759681,22.52874658,0.07666661155,0.1571131418,Not_sig
Q3UHB1,Nt5dc3,5'-nucleotidase domain-containing protein 3,0.3857820193,19.98781508,0.01853096067,0.05584112972,Not_sig
Q3UHC7,Dab2ip,Disabled homolog 2-interacting protein,0.09996431319,17.82124005,0.7250739143,0.8087419711,Not_sig
Q3UHD6,Snx27,Sorting nexin-27,-0.08207339237,21.28876314,0.483604031,0.6045445618,Not_sig
Q3UHH1,Zswim8,Zinc finger SWIM domain-containing protein 8,0.8915380456,18.65796398,0.0003752328511,0.003717332701,Up
Q3UHI0,Ccser2,Serine-rich coiled-coil domain-containing protein 2,-0.3928673496,21.28776776,0.190083322,0.3043328443,Not_sig
Q3UHI4,Tmed8,Protein TMED8,-1.718497547,17.95368661,0.0230754704,0.0655237605,Not_sig
Q3UHJ0,Aak1,AP2-associated protein kinase 1,0.1733760727,22.21105988,0.4838218592,0.6046192123,Not_sig
Q3UHQ6,Dop1b,Protein dopey-2,0.3823316498,19.0917029,0.06005975594,0.1310145503,Not_sig
Q3UHU5,Mtcl1,Microtubule cross-linking factor 1,-0.1737537321,18.168626,0.6461665017,0.7487699099,Not_sig
Q3UHX2,Pdap1,28 kDa heat- and acid-stable phosphoprotein,-0.2626078548,22.34326489,0.3302412278,0.4573858946,Not_sig
Q3UIA2,Arhgap17,Rho GTPase-activating protein 17,-0.5186964313,20.97920949,0.001831084416,0.01068705409,Not_sig
